iter	Passed	Remaining
0	108	108520
1	110	55176
2	114	37937
3	116	28967
4	118	23523
5	120	19917
6	124	17612
7	126	15654
8	128	14117
9	130	12870
10	132	11885
11	135	11115
12	136	10376
13	138	9748
14	142	9340
15	144	8886
16	146	8459
17	148	8080
18	149	7731
19	151	7409
20	152	7130
21	155	6909
22	157	6709
23	159	6494
24	161	6294
25	162	6105
26	164	5932
27	166	5769
28	167	5623
29	170	5497
30	171	5375
31	173	5257
32	175	5150
33	177	5049
34	179	4947
35	181	4870
36	183	4787
37	186	4725
38	188	4640
39	189	4559
40	191	4482
41	193	4416
42	195	4350
43	197	4284
44	199	4226
45	201	4178
46	203	4119
47	205	4066
48	206	4013
49	208	3962
50	210	3911
51	211	3864
52	214	3837
53	216	3792
54	218	3750
55	220	3710
56	221	3670
57	223	3629
58	225	3593
59	226	3555
60	229	3526
61	230	3491
62	232	3456
63	233	3421
64	235	3387
65	237	3355
66	238	3324
67	240	3292
68	242	3266
69	244	3243
70	245	3217
71	247	3189
72	249	3162
73	250	3135
74	252	3109
75	253	3084
76	255	3060
77	257	3045
78	259	3024
79	261	3002
80	262	2983
81	264	2963
82	265	2934
83	267	2914
84	268	2894
85	270	2876
86	272	2862
87	274	2844
88	276	2827
89	277	2807
90	279	2789
91	280	2770
92	282	2755
93	284	2739
94	285	2723
95	288	2713
96	290	2701
97	291	2687
98	293	2673
99	295	2660
100	297	2647
101	299	2633
102	300	2619
103	303	2611
104	305	2602
105	306	2588
106	308	2575
107	310	2562
108	311	2548
109	313	2537
110	315	2523
111	317	2514
112	319	2505
113	320	2494
114	322	2484
115	324	2473
116	326	2461
117	327	2449
118	329	2438
119	331	2432
120	333	2425
121	335	2412
122	337	2403
123	338	2394
124	340	2385
125	342	2374
126	343	2364
127	346	2357
128	348	2352
129	350	2342
130	351	2333
131	353	2325
132	355	2315
133	356	2306
134	358	2297
135	360	2289
136	362	2286
137	364	2277
138	366	2268
139	368	2260
140	369	2252
141	370	2241
142	372	2233
143	374	2224
144	377	2225
145	379	2219
146	381	2212
147	383	2205
148	384	2198
149	386	2191
150	388	2183
151	389	2174
152	392	2173
153	394	2166
154	396	2159
155	397	2153
156	399	2146
157	401	2139
158	403	2132
159	404	2125
160	406	2118
161	408	2112
162	409	2105
163	411	2098
164	413	2091
165	415	2085
166	416	2079
167	418	2072
168	421	2072
169	423	2067
170	425	2062
171	427	2055
172	428	2049
173	430	2043
174	432	2037
175	433	2031
176	436	2027
177	437	2022
178	439	2016
179	441	2009
180	442	2004
181	444	1998
182	446	1992
183	447	1985
184	449	1979
185	451	1977
186	453	1971
187	455	1965
188	456	1959
189	458	1954
190	460	1948
191	461	1942
192	463	1937
193	466	1936
194	468	1932
195	469	1926
196	471	1921
197	473	1917
198	475	1912
199	476	1906
200	478	1901
201	480	1898
202	482	1894
203	484	1889
204	485	1884
205	487	1879
206	489	1874
207	490	1869
208	492	1863
209	494	1858
210	496	1855
211	498	1851
212	499	1846
213	501	1841
214	503	1837
215	504	1832
216	506	1828
217	508	1823
218	510	1821
219	512	1817
220	514	1812
221	515	1808
222	517	1803
223	519	1799
224	520	1793
225	522	1788
226	524	1785
227	526	1783
228	528	1778
229	529	1774
230	532	1771
231	533	1767
232	535	1763
233	537	1760
234	539	1757
235	542	1754
236	543	1750
237	545	1746
238	547	1742
239	548	1737
240	550	1733
241	552	1730
242	554	1726
243	556	1724
244	558	1720
245	560	1717
246	562	1713
247	563	1708
248	565	1704
249	566	1700
250	568	1696
251	570	1694
252	572	1690
253	574	1687
254	576	1683
255	577	1679
256	579	1675
257	581	1672
258	583	1668
259	585	1666
260	587	1662
